game,winner,game_length,peak_setup_p0,peak_setup_p1,ko_count_p0,ko_count_p1,p0_meganium_active_events,p1_meganium_active_events,p0_meganium_failure_reason,p1_meganium_failure_reason,p0_turn_chikorita_or_applin_played,p0_turn_any_evolution,p0_turn_meganium_in_play,p0_turn_meganium_benched,p0_turn_hydrapple_attack_ready,p0_turn_ogerpon_attack_ready,p0_turn_any_attacker_ready,p0_turn_full_target_state,p1_turn_chikorita_or_applin_played,p1_turn_any_evolution,p1_turn_meganium_in_play,p1_turn_meganium_benched,p1_turn_hydrapple_attack_ready,p1_turn_ogerpon_attack_ready,p1_turn_any_attacker_ready,p1_turn_full_target_state,p0_regressed_chikorita_or_applin_played,p0_regressed_any_evolution,p0_regressed_meganium_in_play,p0_regressed_meganium_benched,p0_regressed_hydrapple_attack_ready,p0_regressed_ogerpon_attack_ready,p0_regressed_any_attacker_ready,p0_regressed_full_target_state,p1_regressed_chikorita_or_applin_played,p1_regressed_any_evolution,p1_regressed_meganium_in_play,p1_regressed_meganium_benched,p1_regressed_hydrapple_attack_ready,p1_regressed_ogerpon_attack_ready,p1_regressed_any_attacker_ready,p1_regressed_full_target_state
29,1,11,86,555,1,4,,,drawn_never_played,,7,,,,,,,,1,4,4,4,10,4,4,6,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
30,0,11,666,372,4,8,,,,,1,3,5,5,7,5,5,5,2,6,8,8,,,,8,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True
31,0,9,557,230,4,4,3:evolve_active_empty_bench,,,played_then_ko_before_meganium,1,3,3,3,,5,5,3,8,8,,,,4,4,,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False
32,1,20,231,237,7,0,14:unknown;18:unknown,,,played_stuck_never_evolved,1,13,13,13,,,,,1,,,,,6,6,,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
33,1,10,312,631,7,2,9:forced_or_chosen_switch,,,,1,3,7,7,,,,7,8,10,10,10,,4,4,10,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False
34,0,11,403,128,5,3,,,,drawn_never_played,1,3,3,3,7,,7,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,0,7,564,401,7,5,4:unknown,6:forced_or_chosen_switch,,,1,5,3,3,,3,3,3,4,4,4,4,,4,4,4,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True
36,0,7,595,156,3,3,,,,drawn_never_played,1,7,3,3,7,3,3,3,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,0,13,718,93,4,4,7:evolve_active_with_bench_available,,,never_drawn,1,7,7,7,11,3,3,7,1,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
38,0,9,189,116,0,2,,,drawn_never_played,drawn_never_played,1,,,,,7,7,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
