game,winner,game_length,peak_setup_p0,peak_setup_p1,ko_count_p0,ko_count_p1,p0_meganium_active_events,p1_meganium_active_events,p0_meganium_failure_reason,p1_meganium_failure_reason,p0_turn_chikorita_or_applin_played,p0_turn_any_evolution,p0_turn_meganium_in_play,p0_turn_meganium_benched,p0_turn_hydrapple_attack_ready,p0_turn_ogerpon_attack_ready,p0_turn_any_attacker_ready,p0_turn_full_target_state,p1_turn_chikorita_or_applin_played,p1_turn_any_evolution,p1_turn_meganium_in_play,p1_turn_meganium_benched,p1_turn_hydrapple_attack_ready,p1_turn_ogerpon_attack_ready,p1_turn_any_attacker_ready,p1_turn_full_target_state,p0_regressed_chikorita_or_applin_played,p0_regressed_any_evolution,p0_regressed_meganium_in_play,p0_regressed_meganium_benched,p0_regressed_hydrapple_attack_ready,p0_regressed_ogerpon_attack_ready,p0_regressed_any_attacker_ready,p0_regressed_full_target_state,p1_regressed_chikorita_or_applin_played,p1_regressed_any_evolution,p1_regressed_meganium_in_play,p1_regressed_meganium_benched,p1_regressed_hydrapple_attack_ready,p1_regressed_ogerpon_attack_ready,p1_regressed_any_attacker_ready,p1_regressed_full_target_state
455,0,13,647,424,10,8,,,,,1,3,9,9,9,5,5,9,1,4,8,8,10,4,4,8,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True
456,1,22,182,846,4,7,,,played_then_ko_before_meganium,,5,,,,,17,17,,1,6,10,10,10,4,4,10,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True
457,0,11,580,167,3,8,,,,played_then_ko_before_meganium,1,3,3,3,,5,5,5,1,4,,,8,,8,,True,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False
458,1,8,159,651,3,5,,,played_then_ko_before_meganium,,1,,,,,3,3,,2,6,8,8,,4,4,8,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False
459,0,13,476,106,6,5,,,,played_then_ko_before_meganium,1,7,7,7,7,,7,7,1,6,,,,,,,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
460,0,9,696,399,5,7,,,,,3,5,5,5,9,3,3,5,2,4,6,6,,4,4,6,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True
461,1,16,461,555,6,6,,,,,1,15,15,15,,9,9,15,1,4,6,6,16,6,6,10,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True
462,1,10,446,666,4,5,9:forced_or_chosen_switch,,,,1,,3,3,,3,3,3,2,4,8,8,6,6,6,8,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False
463,0,7,587,126,4,4,4:unknown;6:unknown,,,drawn_never_played,1,3,3,3,7,3,3,3,2,4,,,,,,,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False
464,1,10,159,683,5,3,,4:evolve_active_with_bench_available,drawn_never_played,,3,5,,,,,,,1,10,4,6,,4,4,6,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
465,0,13,533,203,5,8,,,,played_then_ko_before_meganium,1,3,3,3,11,5,5,4,1,4,,,,8,8,,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False
466,0,3,207,20,0,1,,,drawn_never_played,never_drawn,3,,,,,3,3,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
467,1,20,340,555,10,11,,10:evolve_active_with_bench_available;18:evolve_active_with_bench_available,,,3,5,17,17,,11,11,17,1,4,10,18,,16,16,18,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False
468,0,9,572,510,6,7,,8:forced_or_chosen_switch,,,1,3,5,5,5,5,5,5,2,4,4,4,,4,4,4,True,True,False,False,False,True,False,True,True,True,False,True,False,True,True,True
469,1,12,369,547,8,5,,,,,1,3,3,3,,11,11,7,2,4,8,8,,6,6,8,True,True,False,False,False,True,True,True,False,True,False,False,False,True,True,True
470,0,17,624,133,4,4,,,,played_then_ko_before_meganium,1,7,11,11,15,13,13,13,2,,,,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
471,1,8,100,271,4,2,,,played_then_ko_before_meganium,played_then_ko_before_meganium,1,3,,,,,,,2,4,,,,4,4,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
472,1,20,332,715,6,3,3:evolve_active_empty_bench;17:forced_or_chosen_switch;19:forced_or_chosen_switch,,,,1,3,3,9,,,,9,1,8,16,16,14,12,12,16,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False
473,1,12,424,276,8,2,8:unknown,,,played_stuck_never_evolved,1,3,5,5,11,5,5,5,1,4,,,,4,4,,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False
474,0,9,755,587,3,8,,,,,1,3,3,3,,3,3,3,1,8,8,8,,4,4,8,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True
475,1,14,190,493,6,3,6:unknown;9:forced_or_chosen_switch,,,,5,5,5,5,,,,,1,8,8,8,8,,8,8,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True
476,0,11,550,206,2,4,4:unknown,,,played_then_ko_before_meganium,3,3,3,3,,7,7,7,2,10,,,,4,4,,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False
477,1,12,135,513,4,4,,7:unknown,drawn_never_played,,1,,,,,,,,1,4,6,6,6,,6,6,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True
478,1,22,547,501,7,8,,,,,1,19,19,19,13,19,13,19,1,10,22,22,,6,6,22,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,False
479,0,17,260,221,1,5,,,played_stuck_never_evolved,drawn_never_played,1,,,,,11,11,,14,14,,,,10,10,,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False
480,0,5,414,45,2,2,,,,played_then_ko_before_meganium,3,3,3,3,,5,5,5,2,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
481,1,18,441,612,10,5,11:forced_or_chosen_switch;13:forced_or_chosen_switch;16:unknown,,,,1,3,3,3,,5,5,3,8,8,8,8,,8,8,8,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True
482,1,8,215,601,5,4,,,,,3,5,7,7,,3,3,,4,8,8,8,,4,4,8,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False
483,0,11,560,162,3,4,,,,played_then_ko_before_meganium,3,3,3,3,,5,5,4,1,,,,,4,4,,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
484,1,16,188,613,9,4,,,played_then_ko_before_meganium,,1,3,,,,,,,2,4,4,4,,4,4,4,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True
485,1,26,466,710,7,6,3:evolve_active_with_bench_available;23:forced_or_chosen_switch;25:forced_or_chosen_switch,,,,1,25,3,5,25,21,21,21,12,18,18,18,,22,22,22,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True
486,1,4,70,144,3,0,3:evolve_active_empty_bench,,,never_drawn,1,3,3,,,,,,2,,,,,4,4,,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
487,0,7,743,414,5,6,,,,,1,3,3,3,7,3,3,3,2,4,6,6,6,4,4,6,True,True,False,False,False,False,False,True,False,True,False,False,True,True,True,True
488,0,11,227,128,2,2,,,drawn_never_played,played_then_ko_before_meganium,1,7,,,9,,9,,4,,,,,,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
489,0,17,487,401,5,6,,16:forced_or_chosen_switch,,,1,7,7,7,7,15,7,7,1,,10,10,,10,10,10,True,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True
490,1,12,511,500,6,6,,,,,1,3,5,5,7,5,5,5,2,4,12,12,,6,6,12,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False
491,0,11,604,215,2,6,,4:evolve_active_with_bench_available;6:forced_or_chosen_switch;10:forced_or_chosen_switch,,,3,3,5,5,,5,5,5,1,4,4,4,,,,,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
492,1,14,493,498,5,5,,,,,3,5,7,7,,7,7,7,2,4,6,6,,6,6,6,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True
493,1,10,190,218,4,3,9:evolve_active_empty_bench,,,drawn_never_played,5,,9,,,5,5,,1,4,,,,4,4,,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False
494,0,9,812,196,1,5,,,,played_then_ko_before_meganium,3,,7,7,,3,3,7,1,6,,,,,,,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
495,1,12,151,552,3,3,,,drawn_never_played,,,,,,,,,,2,4,12,12,,4,4,12,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
496,1,10,159,345,3,3,,,drawn_never_played,played_then_ko_before_meganium,,,,,,,,,6,6,,,,4,4,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
497,1,20,547,744,12,6,13:forced_or_chosen_switch;17:forced_or_chosen_switch;19:forced_or_chosen_switch,,,,3,3,11,11,5,,5,11,1,8,12,12,,12,12,12,True,True,False,True,True,False,True,True,True,True,False,False,False,False,False,True
498,0,13,537,248,6,6,,,,played_then_ko_before_meganium,1,5,7,7,7,7,7,7,1,10,,,12,4,4,,True,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False
499,1,14,312,557,9,6,3:evolve_active_empty_bench;5:forced_or_chosen_switch;7:forced_or_chosen_switch;8:unknown,4:evolve_active_with_bench_available,,,1,3,3,3,,9,9,3,1,4,4,4,,4,4,4,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True
500,0,13,562,190,5,7,,12:forced_or_chosen_switch,,,5,7,7,7,7,11,7,7,1,4,10,10,,,,,True,True,False,False,True,False,False,False,True,True,True,True,False,False,False,False
501,1,12,231,221,6,0,7:forced_or_chosen_switch;9:forced_or_chosen_switch;11:forced_or_chosen_switch,,,played_stuck_never_evolved,1,3,3,3,,,,,2,,,,,6,6,,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
502,0,15,555,399,5,7,,,,,1,9,3,3,9,5,5,5,1,4,14,14,,8,8,14,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True
503,0,15,668,248,5,6,5:evolve_active_empty_bench;6:unknown,12:forced_or_chosen_switch;13:unknown,,,1,5,5,5,13,9,9,5,1,4,4,4,,,,,True,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False
504,1,18,580,481,7,8,,,,,1,13,13,13,17,9,9,13,1,4,14,14,14,4,4,14,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True
505,1,14,399,594,9,5,13:forced_or_chosen_switch,,,,1,11,11,11,,11,11,11,4,4,12,12,,4,4,12,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True
506,0,13,597,510,9,8,,,,,1,5,5,5,7,7,7,7,1,4,8,8,8,8,8,8,True,True,False,False,False,True,False,True,True,True,False,False,True,True,True,True
507,0,9,453,73,2,2,,,,drawn_never_played,5,7,7,7,,7,7,7,1,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
508,1,22,659,710,10,8,4:unknown,21:unknown,,,1,3,3,3,11,17,11,11,1,4,4,4,,16,16,12,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True
509,1,10,404,603,5,2,,,,,1,3,3,3,,5,5,6,2,4,4,4,,4,4,,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False
510,1,14,190,745,6,3,13:forced_or_chosen_switch,,,,1,11,11,11,,,,,2,8,8,8,,6,6,8,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False
511,1,14,414,646,8,4,9:forced_or_chosen_switch;13:forced_or_chosen_switch,,,,1,3,5,5,9,,9,11,1,4,8,8,8,8,8,8,True,True,False,True,True,False,True,True,True,True,False,False,False,False,False,False
512,1,16,177,592,7,3,,,played_then_ko_before_meganium,,1,7,,,,7,7,,1,4,4,4,,10,10,10,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False
513,1,10,325,318,4,2,,,,drawn_never_played,1,,3,3,,,,7,4,8,,,,4,4,,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
514,1,12,577,535,9,7,,,,,1,3,9,9,9,7,7,9,6,6,6,6,,8,8,7,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True
515,0,7,537,471,3,7,,,,,3,3,3,3,,3,3,3,2,4,4,4,,4,4,4,True,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True
516,0,13,495,589,8,10,13:forced_or_chosen_switch,,,,1,3,11,11,13,5,5,11,2,4,6,6,12,4,4,6,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True
517,1,24,320,664,9,4,17:forced_or_chosen_switch;19:forced_or_chosen_switch,17:unknown;23:unknown,,,1,15,3,3,19,23,19,17,1,6,6,6,14,18,14,16,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True
518,0,15,728,191,7,6,,,,played_then_ko_before_meganium,1,3,3,3,13,5,5,11,1,4,,,,6,6,,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False
519,0,13,639,106,4,4,,,,played_then_ko_before_meganium,5,7,7,7,13,7,7,7,10,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
520,0,7,706,65,3,2,,,,played_then_ko_before_meganium,5,5,5,5,7,5,5,5,1,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
521,0,13,538,485,5,9,,6:evolve_active_with_bench_available;11:unknown,,,5,9,7,7,9,7,7,7,2,6,6,8,,4,4,8,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True
522,1,12,612,663,8,6,,,,,5,5,9,9,9,9,9,9,1,4,4,4,4,8,4,4,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,True
523,0,9,642,259,4,6,,,,played_then_ko_before_meganium,1,7,3,3,7,3,3,5,2,4,,,,4,4,,True,True,False,False,False,True,False,True,True,True,False,False,False,True,True,False
524,0,9,629,184,6,6,,,,played_then_ko_before_meganium,3,3,7,7,7,3,3,7,1,4,,,,4,4,,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False
525,1,14,525,705,6,3,9:forced_or_chosen_switch,,,,1,3,5,5,,5,5,5,1,4,10,10,6,8,6,10,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False
526,0,11,641,249,3,6,,,,played_then_ko_before_meganium,1,5,5,5,7,3,3,5,1,6,,,8,,8,,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
527,1,10,136,725,5,4,,,drawn_never_played,,1,3,,,7,,7,,1,4,4,4,4,6,4,4,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False
528,1,10,205,253,7,3,8:unknown,,,played_stuck_never_evolved,1,5,5,5,,3,3,,1,6,,,,4,4,,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False
529,0,19,540,181,5,6,,,,played_then_ko_before_meganium,3,9,19,19,13,17,13,19,1,4,,,14,,14,,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
530,0,11,537,399,1,10,4:unknown,,,,1,,3,3,,3,3,3,2,6,8,8,8,4,4,8,True,False,False,True,False,False,False,True,True,True,False,False,True,True,True,True
531,0,17,602,100,5,5,,,,played_then_ko_before_meganium,5,7,13,13,15,17,15,16,1,4,,,,,,,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
532,0,9,622,275,5,6,8:unknown,,,played_stuck_never_evolved,3,3,5,5,9,3,3,5,2,4,,,,4,4,,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,False
533,0,9,616,451,2,8,,,,,1,,5,5,,3,3,5,1,6,8,8,,8,8,8,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True
534,1,10,446,260,4,3,,,,played_then_ko_before_meganium,1,,7,7,,3,3,7,1,10,,,,4,4,,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
535,0,15,861,215,6,9,,8:evolve_active_with_bench_available;11:unknown,,,1,5,9,9,9,7,7,9,2,8,8,8,,6,6,,True,True,False,False,False,True,False,False,True,True,True,True,False,True,True,False
536,1,10,436,720,6,6,9:forced_or_chosen_switch,,,,1,7,3,3,7,3,3,3,6,6,6,6,,6,6,6,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,True
537,1,12,409,540,8,4,11:forced_or_chosen_switch,,,,3,5,5,5,7,,7,9,2,4,10,10,4,10,4,10,True,True,False,True,True,False,True,True,False,True,False,False,True,False,True,False
538,1,20,399,745,7,3,15:forced_or_chosen_switch,,,,1,5,5,5,,13,13,5,2,20,20,20,,4,4,20,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False
539,0,11,553,125,2,6,,,,played_then_ko_before_meganium,3,3,3,3,,3,3,3,1,4,,,,,,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
540,1,10,456,316,5,5,10:unknown,,,played_then_ko_before_meganium,1,,3,3,,3,3,3,2,4,,,,4,4,,True,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False
541,0,13,657,162,5,3,,,,drawn_never_played,1,3,7,7,9,7,7,7,,,,,,8,8,,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,False
542,1,8,426,646,7,4,,,,,1,3,3,3,,3,3,3,1,6,4,4,,4,4,4,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False
543,1,10,225,542,5,2,,5:unknown,,,5,9,9,9,,,,,1,4,4,4,,6,6,6,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
544,0,11,552,594,6,9,,,,,1,3,5,5,7,7,7,7,1,4,6,6,,4,4,6,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True
545,1,24,196,512,7,3,,,drawn_never_played,,1,5,,,13,,13,,18,20,22,22,,6,6,22,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False
546,1,10,153,685,4,4,,,drawn_never_played,,1,,,,,,,,2,4,4,4,,4,4,4,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
547,0,3,394,40,2,1,,,,drawn_never_played,3,3,3,3,,3,3,3,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
548,1,14,221,218,7,4,5:evolve_active_empty_bench;5:forced_or_chosen_switch;11:forced_or_chosen_switch;12:unknown,,,drawn_never_played,1,3,5,5,,,,,6,8,,,,4,4,,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False
549,0,11,776,238,4,4,,,,drawn_never_played,5,7,7,7,9,5,5,7,2,,,,,4,4,,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
550,0,9,619,105,4,4,,,,drawn_never_played,1,3,3,3,9,3,3,3,1,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
551,1,8,92,271,2,3,,,drawn_never_played,drawn_never_played,1,,,,,,,,1,4,,,,4,4,,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
552,0,19,698,150,4,5,,,,drawn_never_played,11,15,15,15,,9,9,15,1,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
553,1,16,519,257,5,6,3:evolve_active_empty_bench,,,played_then_ko_before_meganium,1,7,3,5,,11,11,7,1,4,,,14,6,6,,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,False
554,1,10,337,537,6,4,,,,,1,3,3,3,,,,3,4,6,6,6,,6,6,,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False
555,1,24,572,589,11,8,3:evolve_active_empty_bench;9:forced_or_chosen_switch,23:unknown,,,1,15,3,5,15,19,15,19,4,14,14,14,20,6,6,16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
556,0,17,703,108,6,4,4:unknown;8:forced_or_chosen_switch,,,played_then_ko_before_meganium,1,3,3,3,15,11,11,12,1,4,,,,,,,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False
557,0,11,617,471,4,7,,,,,1,11,3,3,,5,5,3,1,4,10,10,4,10,4,10,True,True,False,False,False,False,False,True,True,False,False,False,True,True,True,True
558,1,12,219,216,8,1,11:forced_or_chosen_switch,,,played_stuck_never_evolved,1,5,9,9,,7,7,,1,,,,4,,4,,True,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False
559,0,6,85,70,0,0,,,played_stuck_never_evolved,drawn_never_played,1,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
560,0,11,538,148,4,4,,,,played_then_ko_before_meganium,1,3,5,5,11,5,5,5,1,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
561,0,9,530,187,5,3,,,,played_stuck_never_evolved,1,3,3,3,,7,7,7,6,,,,,4,4,,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,False
562,1,12,421,555,7,4,7:forced_or_chosen_switch,,,,1,3,3,3,9,3,3,5,2,4,6,6,,4,4,6,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,False
563,0,5,448,119,3,1,,,,drawn_never_played,1,3,3,3,,5,5,5,,,,,,4,4,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
564,0,13,639,486,5,9,,11:unknown,,,1,7,7,7,7,9,7,7,4,4,4,4,,6,6,5,True,True,False,False,False,False,False,True,True,True,True,True,False,True,True,True
565,1,4,57,213,2,0,,,drawn_never_played,played_stuck_never_evolved,1,3,,,,,,,4,,,,,4,4,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
566,1,4,66,394,1,2,,4:evolve_active_with_bench_available,drawn_never_played,,1,,,,,,,,1,4,4,4,,4,4,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
567,1,4,10,108,1,1,,,drawn_never_played,played_stuck_never_evolved,,,,,,,,,1,4,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
568,0,9,268,200,2,6,,,played_stuck_never_evolved,,1,3,,,7,3,3,,4,4,8,8,,4,4,,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
569,0,13,686,449,5,8,,,,,1,3,3,3,7,11,7,3,1,4,4,4,,6,6,10,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True
570,0,11,550,327,4,6,,9:unknown,,,1,5,5,5,9,3,3,5,1,4,4,4,,,,4,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True
571,0,15,595,525,6,8,,6:evolve_active_with_bench_available,,,3,7,7,7,11,7,7,9,1,12,6,8,,12,12,8,True,True,False,False,False,True,False,True,True,False,False,False,False,True,True,True
572,1,28,300,778,6,4,25:forced_or_chosen_switch;27:forced_or_chosen_switch,,,,1,23,23,23,,,,,1,4,12,12,26,20,20,22,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False
573,1,12,448,537,5,9,8:unknown,,,,3,3,3,3,,3,3,3,4,6,10,10,,6,6,10,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True
574,1,12,487,676,8,7,,11:unknown,,,1,5,9,9,7,7,7,9,8,8,8,8,,4,4,8,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True
575,0,11,615,525,6,7,,,,,3,5,5,5,7,3,3,7,1,6,10,10,,4,4,10,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True
576,1,10,429,282,7,6,,,,played_then_ko_before_meganium,1,3,3,3,,3,3,3,2,4,,,,4,4,,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False
577,0,6,313,50,3,0,,,,drawn_never_played,1,5,5,5,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
578,1,8,448,553,7,6,,,,,1,3,3,3,7,3,3,3,4,4,4,4,,4,4,4,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True
579,1,12,421,285,6,3,9:forced_or_chosen_switch;11:forced_or_chosen_switch,,,played_stuck_never_evolved,1,5,5,5,,5,5,5,6,6,,,,4,4,,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False
580,0,9,499,118,3,6,,,,drawn_never_played,3,3,3,3,,3,3,3,1,4,,,,,,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
581,0,13,597,404,5,7,,9:unknown,,,1,7,7,7,7,9,7,7,1,4,6,6,,8,8,8,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True
582,0,9,809,113,4,4,,,,played_then_ko_before_meganium,3,7,7,7,,3,3,7,1,,,,,,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
583,0,15,463,626,7,8,3:evolve_active_empty_bench;7:forced_or_chosen_switch;12:unknown,,,,1,3,3,5,,11,11,5,2,6,6,6,,6,6,6,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True
584,0,3,170,36,0,1,,,never_drawn,never_drawn,,,,,,3,3,,1,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
585,0,7,547,95,2,3,,,,drawn_never_played,1,5,5,5,,3,3,5,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
586,0,13,683,426,6,8,,5:unknown,,,1,3,3,3,11,7,7,5,4,4,4,4,,4,4,4,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True
587,1,14,362,515,6,2,9:forced_or_chosen_switch,,,,1,7,7,7,,,,7,1,4,8,8,,8,8,8,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False
588,0,5,436,70,2,1,,,,drawn_never_played,3,5,5,5,,5,5,5,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
589,0,9,656,291,4,6,,,,,1,7,7,7,7,3,3,7,2,4,8,8,,4,4,,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
590,0,13,590,332,4,5,,,,,3,11,5,5,13,5,5,5,1,,10,10,,,,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
591,1,14,320,693,7,5,9:forced_or_chosen_switch;11:forced_or_chosen_switch;13:forced_or_chosen_switch,,,,1,3,5,5,,,,11,2,10,10,10,,4,4,10,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False
592,0,15,546,414,7,7,,,,,3,5,5,5,9,,9,11,2,4,10,10,,10,10,10,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,True
593,0,11,765,409,5,9,,,,,1,7,3,3,7,3,3,5,2,4,6,6,10,4,4,6,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True
594,0,3,411,36,2,1,,,,never_drawn,1,3,3,3,,3,3,3,1,,,,,,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
595,0,3,458,20,3,1,,,,played_then_ko_before_meganium,1,3,3,3,,3,3,3,1,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
596,1,28,436,536,11,7,8:forced_or_chosen_switch;14:forced_or_chosen_switch;21:forced_or_chosen_switch;25:forced_or_chosen_switch,,,,3,21,5,5,21,27,21,21,2,4,10,10,24,16,16,20,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,True
597,0,7,428,90,3,2,,,,drawn_never_played,1,5,5,5,,5,5,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
598,1,8,446,530,6,9,,,,,1,7,3,3,,3,3,3,1,4,4,4,,4,4,4,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True
599,0,11,195,138,1,5,,,played_then_ko_before_meganium,played_then_ko_before_meganium,1,5,,,,3,3,,1,4,,,,,,,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
600,0,13,748,503,7,9,,4:evolve_active_with_bench_available,,,1,3,3,3,7,7,7,7,1,4,4,6,8,4,4,6,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True
601,0,3,547,108,2,1,,,,drawn_never_played,1,3,3,3,,3,3,3,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
